,CALLS_OI,CALLS_CHNG_OI,CALLS_VOLUME,CALLS_IV,CALLS_LTP,CALLS_CHNG,CALLS_BID_QTY,CALLS_BID,CALLS_ASK,CALLS_ASK_QTY,STRIKE,PUTS_BID_QTY,PUTS_BID,PUTS_ASK,PUTS_ASK_QTY,PUTS_CHNG,PUTS_LTP,PUTS_IV,PUTS_VOLUME,PUTS_CHNG_OI,PUTS_OI,CALLS_DELTA,CALLS_GAMMA,CALLS_VEGA,PUTS_DELTA,PUTS_GAMMA,PUTS_VEGA
45,"1,07,787","38,252","10,65,207",10.31,11.65,-8.35,"2,015",11.65,11.75,585,26200.0,65,521.00,522.00,65,59.75,522.75,13.55,"15,356",-992,"14,926",0.03288004921913346,0.0002376046106380832,219.9229738551167,-0.9187530536947999,0.0003704825298364897,450.67565571395164
46,"48,953","29,689","6,24,750",10.56,9.35,-6.35,"1,170",9.25,9.35,"1,105",26250.0,260,567.40,570.45,260,59.50,568.00,13.78,"1,635",26,"1,517",0.025560422226045057,0.00018817947939838033,178.39934331665725,-0.9320673861198527,0.00031776706530452285,393.11097720406235
47,"79,805","34,547","8,09,953",10.84,7.65,-5.45,65,7.60,7.65,"2,210",26300.0,260,615.20,617.75,260,59.50,615.50,14.27,"5,503",-426,"6,693",0.020194487577862675,0.0001503020230130156,146.26862498789302,-0.939851707147189,0.00027914664550185046,357.613130911814
48,"38,728","17,964","4,44,256",11.11,6.25,-4.30,195,6.20,6.25,715,26350.0,260,663.80,666.70,260,61.15,667.05,15.39,708,81,849,0.015948919683011854,0.00011991571602781977,119.60442139973568,-0.9387850125124113,0.0002624152965189135,362.56413171272806
49,"93,488","55,454","7,34,769",11.44,5.30,-3.45,325,5.25,5.30,"2,795",26400.0,260,712.50,716.55,260,60.40,711.80,15.32,"1,321",-57,"2,555",0.013040732764067697,9.792514410920166e-05,100.57205270583138,-0.9512927636996634,0.00022003344316769786,302.6248105830602
50,"26,896","13,572","3,68,848",11.72,4.40,-2.90,325,4.40,4.50,975,26450.0,260,759.65,775.60,"1,300",60.40,765.65,16.85,267,9,261,0.010459159301245254,7.892793140695522e-05,83.04536588586639,-0.9453391271130583,0.0002192635031433354,331.6830850311335
51,"1,21,833","52,190","8,04,668",11.97,3.60,-2.75,"2,080",3.55,3.60,65,26500.0,390,810.45,813.90,260,63.85,811.65,16.92,"1,835",195,"3,100",0.008293532216020976,6.308272674130566e-05,67.78938256058485,-0.954477337144286,0.00018871376212666779,286.65597717984576
52,"20,235","7,233","3,85,946",12.33,3.15,-2.15,975,3.10,3.15,"1,040",26550.0,"1,300",834.10,871.85,"1,040",70.70,873.30,19.86,103,-3,185,0.007024801631686141,5.291247036979283e-05,58.57039937677804,-0.9354487480253724,0.00021193613348446583,377.86904983369
53,"74,795","40,991","7,07,888",12.71,2.80,-1.75,"2,860",2.70,2.80,"1,105",26600.0,260,908.55,914.10,260,62.40,911.00,18.38,320,-,"1,093",0.006060475994448651,4.504625910797961e-05,51.399790828775366,-0.9581060057101345,0.00016246080210821284,268.07182481314425
54,"14,504","5,233","2,86,714",13.05,2.45,-1.50,"1,495",2.35,2.45,"1,105",26650.0,520,955.35,968.35,780,4.90,979.90,22.66,26,-1,20,0.005146861774548604,3.79459709467853e-05,44.456293607108485,-0.929055854784289,0.0001998052360969236,406.465642043199
55,"54,553","11,287","4,94,968",13.3,2.05,-1.45,"3,445",2.00,2.05,520,26700.0,260,"1,007.45","1,013.45",260,56.50,"1,003.50",18.06,511,-179,894,0.004173550490002618,3.088085084518121e-05,36.87210817145792,-0.9736672394655542,0.00011280654671722049,182.89806933234965
56,"16,296","7,931","2,01,504",13.77,1.95,-1.25,"1,170",1.90,1.95,390,26750.0,390,"1,007.80","1,107.45",65,-,941.00,,-,-,10,0.0038699266134187807,2.7876435502258512e-05,34.461029810050285,,,
