CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"45,414","21,365","17,71,038",9.16,62.70,-32.80,455,62.45,62.70,"1,105","25,850.00",130,222.45,223.20,195,33.65,223.15,10.71,"4,54,675",-133,"8,916",
,"82,251","15,517","21,75,807",9.25,49.25,-27.30,780,49.20,49.45,780,"25,900.00",260,258.40,259.25,65,38.30,259.05,10.86,"4,49,468","1,820","18,986",
,"43,767","20,633","11,03,338",9.42,39.00,-23.40,585,38.75,39.00,"9,100","25,950.00",520,298.20,299.25,520,41.15,298.35,11.14,"83,593","-1,024","3,216",
,"1,96,390","86,727","25,01,347",9.58,30.65,-18.85,520,30.65,30.80,"1,105","26,000.00",715,340.00,340.80,130,46.65,340.80,11.56,"1,94,345",-555,"34,007",
,"42,595","17,761","8,29,476",9.75,24.10,-15.10,130,23.95,24.05,130,"26,050.00",260,382.70,384.00,130,50.20,383.60,11.89,"24,201",-130,"3,965",
,"73,587","20,821","10,69,306",9.91,18.75,-12.40,"2,470",18.70,18.80,195,"26,100.00",260,427.25,428.95,455,55.00,429.00,12.40,"24,473",42,"10,872",
,"38,547","11,448","6,12,792",10.09,14.65,-10.50,325,14.65,14.75,195,"26,150.00",260,472.60,475.50,260,58.85,476.45,13.08,"4,791",211,"2,154",
,"1,07,787","38,252","10,65,207",10.31,11.65,-8.35,"2,015",11.65,11.75,585,"26,200.00",65,521.00,522.00,65,59.75,522.75,13.55,"15,356",-992,"14,926",
,"48,953","29,689","6,24,750",10.56,9.35,-6.35,"1,170",9.25,9.35,"1,105","26,250.00",260,567.40,570.45,260,59.50,568.00,13.78,"1,635",26,"1,517",
,"79,805","34,547","8,09,953",10.84,7.65,-5.45,65,7.60,7.65,"2,210","26,300.00",260,615.20,617.75,260,59.50,615.50,14.27,"5,503",-426,"6,693",
,"38,728","17,964","4,44,256",11.11,6.25,-4.30,195,6.20,6.25,715,"26,350.00",260,663.80,666.70,260,61.15,667.05,15.39,708,81,849,
,"93,488","55,454","7,34,769",11.44,5.30,-3.45,325,5.25,5.30,"2,795","26,400.00",260,712.50,716.55,260,60.40,711.80,15.32,"1,321",-57,"2,555",
,"26,896","13,572","3,68,848",11.72,4.40,-2.90,325,4.40,4.50,975,"26,450.00",260,759.65,775.60,"1,300",60.40,765.65,16.85,267,9,261,
,"1,21,833","52,190","8,04,668",11.97,3.60,-2.75,"2,080",3.55,3.60,65,"26,500.00",390,810.45,813.90,260,63.85,811.65,16.92,"1,835",195,"3,100",
,"20,235","7,233","3,85,946",12.33,3.15,-2.15,975,3.10,3.15,"1,040","26,550.00","1,300",834.10,871.85,"1,040",70.70,873.30,19.86,103,-3,185,
,"74,795","40,991","7,07,888",12.71,2.80,-1.75,"2,860",2.70,2.80,"1,105","26,600.00",260,908.55,914.10,260,62.40,911.00,18.38,320,-,"1,093",
